  7.3477373e+006 -5.0000000e+002  6.9240845e+002 -7.7056000e+002
  7.3477374e+006 -5.0000000e+002  6.8829287e+002 -7.7056249e+002
  7.3477375e+006 -5.0000000e+002  6.8417701e+002 -7.7056365e+002
  7.3477376e+006 -5.0000000e+002  6.8006043e+002 -7.7054619e+002
  7.3477377e+006 -5.0000000e+002  6.7594270e+002 -7.7050122e+002
  7.3477378e+006 -5.0000000e+002  6.7182335e+002 -7.7042655e+002
  7.3477379e+006 -5.0000000e+002  6.6770195e+002 -7.7032354e+002
  7.3477380e+006 -5.0000000e+002  6.6357802e+002 -7.7019680e+002
  7.3477381e+006 -5.0000000e+002  6.5945121e+002 -7.7005111e+002
  7.3477382e+006 -5.0000000e+002  6.5532118e+002 -7.6989212e+002
  7.3477383e+006 -5.0000000e+002  6.5118776e+002 -7.6972493e+002
  7.3477384e+006 -5.0000000e+002  6.4705099e+002 -7.6955302e+002
  7.3477385e+006 -5.0000000e+002  6.4291101e+002 -7.6937761e+002
  7.3477386e+006 -5.0000000e+002  6.3876799e+002 -7.6919915e+002
  7.3477387e+006 -5.0000000e+002  6.3462208e+002 -7.6901980e+002
  7.3477388e+006 -5.0000000e+002  6.3047352e+002 -7.6884159e+002
  7.3477389e+006 -5.0000000e+002  6.2632256e+002 -7.6866605e+002
  7.3477390e+006 -5.0000000e+002  6.2216951e+002 -7.6849403e+002
  7.3477391e+006 -5.0000000e+002  6.1801467e+002 -7.6832582e+002
  7.3477392e+006 -5.0000000e+002  6.1385836e+002 -7.6816127e+002
  7.3477393e+006 -5.0000000e+002  6.0970088e+002 -7.6799967e+002
  7.3477394e+006 -5.0000000e+002  6.0554248e+002 -7.6784249e+002
  7.3477395e+006 -5.0000000e+002  6.0138346e+002 -7.6768988e+002
  7.3477396e+006 -5.0000000e+002  5.9722411e+002 -7.6754304e+002
  7.3477397e+006 -5.0000000e+002  5.9306471e+002 -7.6740257e+002
  7.3477398e+006 -5.0000000e+002  5.8890559e+002 -7.6726853e+002
  7.3477399e+006 -5.0000000e+002  5.8474702e+002 -7.6714191e+002
  7.3477400e+006 -5.0000000e+002  5.8058929e+002 -7.6702276e+002
  7.3477401e+006 -5.0000000e+002  5.7643269e+002 -7.6691120e+002
  7.3477402e+006 -5.0000000e+002  5.7227748e+002 -7.6680758e+002
  7.3477403e+006 -5.0000000e+002  5.6812393e+002 -7.6671210e+002
  7.3477404e+006 -5.0000000e+002  5.6397227e+002 -7.6662444e+002
  7.3477405e+006 -5.0000000e+002  5.5982271e+002 -7.6654462e+002
  7.3477406e+006 -5.0000000e+002  5.5567546e+002 -7.6647222e+002
  7.3477407e+006 -5.0000000e+002  5.5153067e+002 -7.6640733e+002
  7.3477408e+006 -5.0000000e+002  5.4738852e+002 -7.6634906e+002
  7.3477409e+006 -5.0000000e+002  5.4324911e+002 -7.6629765e+002
  7.3477410e+006 -5.0000000e+002  5.3911257e+002 -7.6625271e+002
  7.3477411e+006 -5.0000000e+002  5.3497897e+002 -7.6621355e+002
  7.3477412e+006 -5.0000000e+002  5.3084838e+002 -7.6617995e+002
  7.3477413e+006 -5.0000000e+002  5.2672086e+002 -7.6615185e+002
  7.3477414e+006 -5.0000000e+002  5.2259644e+002 -7.6612891e+002
  7.3477415e+006 -5.0000000e+002  5.1847515e+002 -7.6611082e+002
  7.3477416e+006 -5.0000000e+002  5.1435700e+002 -7.6609770e+002
  7.3477417e+006 -5.0000000e+002  5.1024198e+002 -7.6608875e+002
  7.3477418e+006 -5.0000000e+002  5.0613009e+002 -7.6608425e+002
  7.3477419e+006 -5.0000000e+002  5.0202130e+002 -7.6608349e+002
  7.3477420e+006 -5.0000000e+002  4.9791557e+002 -7.6608634e+002
  7.3477421e+006 -5.0000000e+002  4.9381285e+002 -7.6609267e+002
  7.3477422e+006 -5.0000000e+002  4.8971310e+002 -7.6610215e+002
  7.3477423e+006 -5.0000000e+002  4.8561625e+002 -7.6611443e+002
  7.3477424e+006 -5.0000000e+002  4.8152221e+002 -7.6612904e+002
  7.3477425e+006 -5.0000000e+002  4.7743092e+002 -7.6614584e+002
  7.3477426e+006 -5.0000000e+002  4.7334227e+002 -7.6616482e+002
  7.3477427e+006 -5.0000000e+002  4.6925618e+002 -7.6618517e+002
  7.3477428e+006 -5.0000000e+002  4.6517258e+002 -7.6620751e+002
  7.3477429e+006 -5.0000000e+002  4.6109136e+002 -7.6623154e+002
  7.3477430e+006 -5.0000000e+002  4.5701245e+002 -7.6625691e+002
